Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Tue Aug  2 23:09:00 2016,999.0,40.7,37.7,37.7,76.9,79.0,25.5,26.0,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0606,0.0000,0,330.79,0.00,0.00,0.00,0.76,0.00,0.00,0.00,4,0,0,0,1,0,38.00,0.00,0.00,0.00,16.422,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.723,2476.811,0.000,0.000,0.000
Tue Aug  2 23:24:00 2016,999.0,40.3,37.3,37.3,76.8,78.9,25.1,26.4,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0339,0.0000,0,323.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,4,0,0,0,1,0,38.00,0.00,0.00,0.00,16.456,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.757,2476.811,0.000,0.000,0.000
Tue Aug  2 23:39:00 2016,999.0,39.9,37.1,37.1,76.6,78.9,24.7,26.2,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,0.0000,0,238.41,0.00,0.00,0.00,0.24,0.00,0.00,0.00,3,0,0,0,1,0,37.00,0.00,0.00,0.00,16.470,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.771,2476.811,0.000,0.000,0.000
Tue Aug  2 23:54:00 2016,999.0,39.6,37.0,37.0,76.5,78.8,24.7,25.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0103,0.0000,0,229.48,0.00,0.00,0.00,0.19,0.00,0.00,0.00,3,0,0,0,1,0,37.00,0.00,0.00,0.00,16.480,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.781,2476.811,0.000,0.000,0.000
Wed Aug  3 00:09:00 2016,999.0,39.3,36.7,36.7,76.3,78.8,24.4,25.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0,229.61,0.00,0.00,0.00,0.15,0.00,0.00,0.00,3,0,0,0,1,0,37.00,0.00,0.00,0.00,16.489,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.790,2476.811,0.000,0.000,0.000
Wed Aug  3 00:24:00 2016,999.0,39.0,36.6,36.6,76.2,78.7,24.5,25.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0056,0.0000,0,229.50,0.00,0.00,0.00,0.10,0.00,0.00,0.00,3,0,0,0,1,0,36.00,0.00,0.00,0.00,16.494,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.795,2476.811,0.000,0.000,0.000
Wed Aug  3 00:39:00 2016,999.0,38.8,36.5,36.5,76.0,78.6,25.0,25.4,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0032,0.0000,0,229.53,0.00,0.00,0.00,0.06,0.00,0.00,0.00,3,0,0,0,1,0,36.00,0.00,0.00,0.00,16.497,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.798,2476.811,0.000,0.000,0.000
Wed Aug  3 00:54:00 2016,999.0,38.5,36.2,36.2,75.9,78.6,25.4,25.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0,249.52,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1,0,0,0,1,0,36.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 01:09:00 2016,999.0,38.3,36.2,36.2,75.7,78.5,25.3,26.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,327.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,0,0,0,1,0,36.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
Wed Aug  3 01:24:00 2016,999.0,38.1,36.0,36.0,75.6,78.4,24.8,26.1,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,325.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,0,1,0,35.00,0.00,0.00,0.00,16.498,0.000,0.000,0.000,0,2,2,2,2,1,1,2,2,25.56,25.56,0.00,0.00,8037.799,2476.811,0.000,0.000,0.000
