Date,T_ambient,T_trunk1,T_trunk4,T_exhaust2,T_tank1_bottom,T_tank1_top,T_zone1,T_zone2,T_pool1,V_trunk,Pyranometer,MD_zone1,MD_zone2,MD_exhaust1,Blower,P_tank1,P_pool1,T_zone3,T_zone4,MD_fresh,E_air_array,E_air_dhw,E_air_space,E_air_pool,E_night_flush,E_air_space2,E_night_flush2,E_pv_array,E_home,Vent,Pv_volts,Pv_volts2,Pv_volts3,Pv_volts4,Pv_amps,Pv_amps2,Pv_amps3,Pv_amps4,Pv_status,Pv_status2,Pv_status3,Pv_status4,Z_resets,Alerts,T_inverter,T_inverter2,T_inverter3,T_inverter4,E_inverter,E_inverter2,E_inverter3,E_inverter4,Th_fan,Th1_hvac,Th2_hvac,Th3_hvac,Th4_hvac,Th1_mode,Th2_mode,Th3_mode,Th4_mode,Th1_setpoint,Th2_setpoint,Th3_setpoint,Th4_setpoint,E_pv_life,E_dhw_life,E_space_life,E_night_life,E_pool_life
Sun Jul 10 03:03:06 2016,999.0,35.9,33.5,33.5,71.7,75.0,22.8,23.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 03:18:06 2016,999.0,35.6,33.2,33.2,71.6,74.9,22.8,23.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 03:33:06 2016,999.0,35.3,33.0,33.0,71.4,74.9,22.8,23.3,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 03:48:06 2016,999.0,35.1,32.7,32.7,71.3,74.8,22.6,23.1,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 04:03:06 2016,999.0,34.8,32.5,32.5,71.2,74.7,22.5,23.1,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 04:18:06 2016,999.0,34.5,32.3,32.3,71.0,74.7,22.5,23.1,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 04:33:06 2016,999.0,34.3,32.1,32.1,70.8,74.6,22.5,23.1,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 04:48:06 2016,999.0,34.0,32.0,32.0,70.7,74.5,22.5,22.9,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 05:03:06 2016,999.0,33.9,31.8,31.8,70.6,74.5,22.3,22.8,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
Sun Jul 10 05:18:06 2016,999.0,33.7,31.7,31.7,70.5,74.4,22.2,22.7,999.0,0.0000, 0,0.00,0.00,0.00,0.0,0.00,0.00,999.0,999.0,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1,0,0,0,1,1,0.00,0.00,0.00,0.00,14.094,0.000,0.000,0.000,0,1,1,2,2,1,1,2,2,21.11,21.11,0.00,0.00,7687.316,2335.023,0.000,0.000,0.000
